Product_Code,Product_code_Title,Supplier_Count,Number_of_Searches
4.7.2,Reactor Physics Services,8,261
4.7.3,Reactor Core Services,9,210
4.7.4,Gas Circulator Services,4,279
4.7.5,Control Rod & Assembly Services,4,218
4.7.6,Fuel Route Services,12,208
4.7.7,Nuclear Island Control & Instrumentation Services,29,290
4.7.8,Nuclear Decommissioning,91,2396
4.7.9,Radioactive Waste Management Services,41,570
4.7.10,Nuclear Fuel Services,7,231
4.7.11,Nuclear Routine & Outage Plant Maintenance,37,178
4.7.13,Nuclear Safety Case Preparation & Support Services,35,221
4.7.14,Specialised cleaning services for equipment in primary circuit,7,130
4.7.99,Other Nuclear & Reactor Services,59,756
4.8.1,Control & Instrumentation Services,399,6660
4.8.2,Electrical Inspection/Testing Services,266,4372
4.8.3,Mechanical Inspection/Testing Services,142,2294
4.8.5,Mechanical Installation Services,277,5789
4.8.6,Pump Services,226,1336
4.8.7,Valve Services,115,925
4.8.9,Metal & Steel Fabrication Services,197,2031
4.8.10,Motor Rewind Services,57,603
4.8.11,Machining Services,90,912
4.8.12,Deplanting/Decommissioning Services,67,887
4.8.13,Gas Appliance Services,33,574
4.8.14,Water Treatment Plant Services,182,2398
4.8.15,Gas Network Plant Services,52,1473
4.8.16,Lighting Services,92,617
4.8.17,Gas Storage Plant Services,57,718
4.8.18,Regulation inspection services,21,1143
4.8.19,Mechanisation services,6,333
4.8.20,"Tool, Instrument & Specialist Equipment Services",79,851
4.8.21,Tool and instrument repair services,30,226
4.8.22,Welding and Cutting Services,99,991
4.8.23,Heat Treatment / Hardening Services,5,136
4.8.24,Mechanical Maintenance and Repair Services,176,2643
4.8.25,Electrical Maintenance and Repair Services,176,2779
4.9.1,Overhead Line Construction - Wood Pole (11kV & Below),103,4287
4.9.2,Overhead Line Construction - Wood Pole (20kV to 99kV),96,4364
4.9.3,"Overhead Line Inspection, Maintenance & Repair - Wood Pole (11kV & Below)",98,4263
4.9.5,Overhead Line Design - Tower (20kV to 99kV),60,2078
4.9.7,Overhead Line Design - Tower (200kV & Above),66,1058
4.9.8,Overhead Line Construction - Tower (20kV to 99kV),57,2030
4.9.9,Overhead Line Construction - Tower (100kV to 199kV),63,2285
4.9.10,Overhead Line Construction - Tower (200kV & Above),57,1105
4.9.11,Overhead Line Design & Construction - Tower (20kV to 99kV),55,1748
4.9.12,Overhead Line Design & Construction - Tower (100kV to 199kV),67,1719
4.9.13,Overhead Line Design & Construction - Tower (200kV & Above),60,1510
4.9.14,"Overhead Line Inspection, Maintenance & Repair - Tower (20kV to 99kV)",76,2515
4.9.15,"Overhead Line Inspection, Maintenance & Repair - Tower (100kV to 199kV)",76,2673
4.9.16,"Overhead Line Inspection, Maintenance & Repair - Tower (200kV & Above)",70,1459
4.9.17,Overhead Line Services - Surveying,152,3908
4.9.18,Overhead Line Services - Tree Cutting,136,5228
4.9.19,Overhead Line Services - Tower Painting,63,1192
4.9.20,Overhead Line Services - Scaffolding (System Use),61,1670
4.9.21,Overhead Line Services - Wood Pole Installation,77,2588
4.9.22,Telecommunication Overhead Line Construction,66,1713
4.9.23,Telecommunication Overhead Line Maintenance & Repair,65,1639
4.9.25,"Overhead Line Inspection, Maintenance & Repair - Wood Pole (100kV to 199kV)",66,1960
4.9.26,Live Line Work,54,1318
4.9.27,Electric line projects,51,739
4.10.1,Water Meter Maintenance & Repair Services,42,1045
4.10.2,Electricity Meter Maintenance & Repair Services,46,1708
4.10.3,Gas Meter Maintenance & Repair Services,71,3069
4.10.4,Meter Installation & Removal Services,141,5165
4.10.5,Meter Operator Services,42,2054
4.10.6,Meter Calibration Services,36,1266
4.10.99,Other Meter & Associated Services,93,2218
4.11.2,Geological registry and drilling services (mud logging),9,78
4.11.3,Well consolidation services,2,57
4.11.4,Assembly of casing and tubing services,4,123
4.11.5,Well testing services,12,155
4.11.6,Logging services,13,116
4.11.7,Slickline/wireline services,6,154
4.11.8,Coring services,19,111
4.11.9,Analysis of drilling muds services,5,1
4.11.10,Treatment of drilling muds services,6,2
4.11.11,Well maintenance,8,227
4.11.12,Coiled tubing,4,84
4.11.33,Oil regeneration in field services,12,285
4.11.99,"Other services of drilling, production and exploitation",20,284
4.50.1,Clinical Trials,0,99
4.50.2,Diagnostic Services,11,312
4.50.3,Animal Handling Services,1,42
4.50.4,Laboratory Equipment Maintenance,7,80
4.50.5,Microbiology Services,10,507
4.50.6,Laboratory Sampling Services,38,1067
4.50.99,Other Laboratory Services,46,744
4.51.1,"Medical, Surgical & Nursing Equipment Services",0,30
4.51.99,"Other Medical, Surgical & Nursing Services",4,18
4.85.6,Underground Rolling Stock Services,1,11
4.85.9,Train Cleaning Services,6,21
4.85.10,Train Painting & Livery Services,5,789
4.85.11,Train Glazing Services,0,15
4.85.13,Train Breakdown Recovery Services,0,3
4.85.14,Train Operations & Support Services,2,6
4.85.99,Other Rolling Stock Services,4,11
4.86.2,Wheelsets & Components Services,1,2
4.86.3,Bearings Services,3,
4.86.4,Brake Equipment Services,0,
4.86.5,"Brake Hoses, Pipes & Fittings Services",2,8
4.86.6,Buffer Services,1,
4.86.7,Diesel Engines & Power Units Services,12,154
4.86.8,Cylinder Heads & Liners Services,3,
4.86.9,Turbocharger Services,3,
4.86.10,Fuel Pumps & Fuel Injection Services,4,199
4.86.11,Transmission/Gearbox Spares Services,5,167
4.86.12,Suspension Equipment Services,0,
4.86.14,Electrical Rotating Machines Services,2,3
4.86.15,Control & Instrumentation Equipment Services,16,38
4.86.16,Pantographs/Shoegear & Components Services,0,
4.86.17,Train-borne Communication Equipment Services,0,1
4.86.18,Train-borne Automatic Warning System Services,0,
4.86.19,Passenger Counting System Services,3,
4.86.20,Air Conditioning Equipment Services,8,38
4.86.21,Heating Equipment Services,6,12
4.86.23,Windows & Glazing Services,3,54
4.86.24,Seats & Interior Fittings Services,1,15
4.86.25,Vending Machine Services (Rail),0,
4.86.26,Ticket Machine Services (Rail),1,
4.86.27,Video Display Equipment/CCTV Services,15,209
4.86.28,Fire Fighting Equipment Services,7,162
4.86.99,Other Rolling Stock Equipment Services,1,
4.87.1,Station Construction,54,48
4.87.2,Platform Construction,59,48
4.87.3,Earthworks - Rail,60,78
4.87.4,Mech/Elec Works -Rail,37,102
4.87.5,Troughing Works - Rail,41,75
4.87.6,Embankment Works - Rail,50,14
4.87.7,Cutting Works - Rail,45,10
4.87.8,Signalling Works - Rail,33,93
4.87.9,Telecom Works - Rail,48,9
4.87.99,"Other Rail Building, Civil Engineering & Associated Services",70,279
4.88.3,Electrification Cabling Services,26,84
4.88.4,Transformer Services - Rail,20,5
4.88.99,Other Rail Electrification Services,24,17
4.90.1,On Track Machine Services,3,
4.90.3,Road-Rail Plant Services,7,1
4.90.4,Trackside Plant Services,8,3
4.90.99,"Other Rail Plant, Machinery & Equipment Services",15,16
4.91.2,Permanent Way Maintenance,3,25
4.91.3,Track Renewal,3,3
4.91.4,Switches & Crossings,2,
4.91.5,Track Welding,3,19
4.91.6,Handgrinding,3,11
4.91.7,Rail Grinding & Reconditioning,2,15
4.91.8,Track Monitoring,10,14
4.91.10,Track Alignment & Tamping Services,2,79
4.91.11,Railway Track Cleaning Services,4,2
4.91.99,Other Permanent Way Services,5,21
4.92.1,Mechanical Engineering Consultancy,15,53
4.92.2,Permanent Way Consultancy,3,18
4.92.5,OHLE Consultancy,8,9
4.92.6,Crash Worthiness Consultancy,0,8
4.92.7,EMC Services,5,9
4.92.8,Mechanical Failure & Wear Solutions,7,6
4.92.10,Vehicle/Track Interaction,9,195
4.92.99,Other Rail Professional & Consultancy Services,33,9
4.99.1,Structural Assessment,57,1385
4.99.2,Thermal Hydrolysis,6,80
4.99.3,Calibration Services,89,708
4.99.4,Research & Development,74,386
4.99.5,Testing & Analysis Services (Utilities),186,3146
4.99.11,Diving Services,66,781
4.99.12,Agricultural & Land Drainage Services,110,235
4.99.13,Anti Corrosion & Cathodic Protection Services,85,1249
4.99.19,Joint Sealing Services,26,388
4.99.23,Dredging Services,49,530
4.99.24,Flood Defence Services,114,827
4.99.25,Statutory Inspection Services/Safety Assessments,140,1994
4.99.27,Non-Destructive Testing Services,116,1140
4.99.28,Scaffolding Services (Non-system Use),75,1890
4.99.29,Industrial Cleaning Services,117,1004
4.99.32,Monitoring Services,217,2923
4.99.34,Canal & River Services,84,684
4.99.36,Salvaging Services,19,52
4.99.37,Hydrographic Services,52,1457
4.99.38,Railway Signalling & Telecommunication Services,10,27
4.99.39,Power System Planning & Operation Services.,26,179
4.99.40,Product Testing,27,80
4.99.42,Compliance and Assessing Services,37,286
4.99.43,Gas and oil pipeline projects,71,316
4.99.44,Gas installations projects,64,914
4.99.45,Other engineering projects,92,236
4.99.46,Filter plant sand renewal services,12,347
4.99.47,Flow study services,23,256
4.99.48,Explosion study services,11,80
4.99.49,Starting of installations,4,23
4.99.50,Network evaluation and network optimisation,25,613
4.99.51,Building inspection,25,216
4.99.52,Architectural and building design,32,1068
4.99.54,Ecological Management,59,2279
4.99.99,Sector Specific Engineering Services,224,1776
4.1.92,Offshore Windfarm Civil Works,45,361
4.3.29,Hydro Pipeline Install,6,254
4.3.30,Hydro Pipeline Supply and Install,8,247
2.1.18,Smart Grid Technology Services,97,2233
3.2.35,Smart Grid Technology,65,1652
3.19.20,Automatic Waste Water Sampler,5,145
4.1.96,Automatic Waste water Sampler supporting services,6,127
4.6.52,Radar and Communications Consultancy,5,133
1.4.30,Radars for wind farms close to airfields,2,73
2.1.19,Smart Meter Services,27,1270
2.3.20,"Engineering, Procurement, Construction and Installation (EPCI)",5,207
3.2.36,Smart Meters - Gas,13,1022
3.2.37,Smart Meters - Electricty,13,558
3.2.38,Smart Meters - Water,7,438
3.2.39,Smart Meter Components,5,454
3.2.40,Smart Meter Firmware,4,327
4.5.21,Tapchanger services,21,675
3.19.21,Sewer Inspection Products,5,224
2.3.19,Sales Service,0,140
4.3.28,Hydro Pipeline Supply,3,238
1.1.12,Signs,104,4443
1.1.15,Steel/Metal Products,177,4312
1.1.17,Horticultural Products,26,1738
1.1.28,Heavy and medium structure,12,941
1.2.2,Gravel,47,2010
1.2.5,Concrete Ready Mixed,33,1373
1.2.18,Piling (exc. Steel Sheet Piling and Timber Piling),10,988
1.3.4,Office Furnishings & Fittings,14,699
1.3.9,Paper & Card,13,1534
1.3.25,Packaging Equipment & Supplies,8,896
1.3.27,Pre-Printed Plastic Cards,9,419
1.3.30,Postal Equipment,4,468
1.3.81,Recycling Equipment,10,345
1.4.7,Mobile Radio Equipment,56,1347
1.5.4,Computer Peripherals,45,3326
1.5.7,General Business Software,90,3676
1.5.12,Computer Systems,33,1079
1.6.6,Personal Protective Equipment,163,3977
1.7.9,Poles and accessories,5,350
1.7.99,Other Security & Firefighting Equipment,79,664
1.8.21,"Fuel Delivery, Storage & Dispensing Equipment",30,432
1.8.98,Other Transport,11,553
1.9.41,"Lifting Gear, Winches & Other Lifting Equipment",111,1764
1.10.4,Hand Tools (Non-Powered),91,3923
1.10.99,Other Tools & Specialist Equipment,51,1425
1.11.1,Electricity,50,1492
1.11.15,Lubricating Oils,38,1349
1.11.23,Degreasants & Solvents,33,1850
1.11.30,Additives for lubricants,5,549
1.12.12,Helium,3,711
1.51.18,Anti-Vibration Products (Rolling Stock),4,400
1.53.1,Air Conditioning Equipment (Rail Interior),3,34
1.53.4,Doors & Door Gear (Rail Interior),2,96
1.53.7,Toilet Equipment & Furnishings (Rail Interior),2,68
1.56.3,Signalling Equipment,3,54
1.56.10,Telecommunications Equipment (Rail),17,67
1.60.3,Flight Management Systems (AODB) (to register passengers per airline and invoice airlines),0,106
2.2.3,IT Consultancy,214,7387
2.2.9,Public Relations Consultancy,33,1252
2.2.12,Environmental Consultancy,265,4725
2.2.23,Value Management Consultancy,60,1545
2.2.25,Electricity Consultancy,85,1651
2.3.4,Financial Leasing Services,8,275
2.3.12,Recruitment Services - Finance,46,1358
2.3.13,Auction Services,3,167
2.3.18,Customer Acquisition Services,7,174
2.5.7,Non-hazardous Disposal Services,82,2025
2.6.3,Printing & Publication Services,79,2767
2.6.13,Laundry Services,5,205
2.6.23,Subscription Services,2,106
2.6.30,Language Translation Services,3,156
2.6.40,Recruitment Services (Permanent),151,1818
2.6.44,Book Restoration & Preservation Services,1,76
2.7.7,Catering Services (Onsite).,33,2217
2.7.8,Hygiene and Pest Control Services,38,2659
2.7.14,Vending Machine Services,11,559
2.8.5,Courier Services,15,678
2.8.11,Windscreen Replacement,4,186
2.8.16,Generator Hire (Non-system Use),37,1419
2.9.2,Plumbing Services,115,2859
2.9.8,Fencing Services,267,3231
2.9.21,Services and works of impermeabilisation,5,832
2.9.24,Electro Assembling Works,2,509
3.1.4,Off-shore Structure Equipment,15,60
3.2.13,Plateholders and calibrated tube,3,252
3.2.22,Electronic transmitters and indicators,25,415
3.2.30,Safety discs,3,85
3.3.5,Distribution Boards,96,1729
3.3.13,"Heating, Ventilation & Air Conditioning Equipment",72,839
3.3.19,Lighting & Accessories,68,2296
3.3.28,Docking Guidance Systems,1,29
3.3.42,Limit switches,12,814
3.3.44,Low voltage switchboard,43,941
3.3.99,"Other Electrical, Control & Instrumentation Equipment",104,1129
3.4.22,Fire-protection material for cable trays,9,470
3.4.32,Reactance protections,5,373
3.5.5,Transformer Ancillary Equipment,42,451
3.5.9,Insulating transformers,4,145
3.5.12,Frequency variators for motors,10,234
3.5.28,Transformers - Primary (10MVA to 100MVA),40,2253
3.5.51,Reactive power blocks,3,33
3.5.98,Other Substation Materials,6,54
3.6.6,Insulator Fittings,24,736
3.6.12,Overhead Line Steelwork,42,1122
3.6.15,Braided power cables (type RZ),6,140
3.7.1,Underground Mains & Service Cable - Below 1kV,48,1192
3.7.5,Underground Mains Cable - 200kV & Above,39,1743
3.7.14,Fibre Optic Cable Accessories,56,406
3.8.2,Steam Boilers,30,579
3.8.27,Other turbines for thermal generation,3,30
3.8.30,Stacks,1,29
3.8.99,Other Generation Plant & Equipment,54,858
3.9.27,Hydro mechanical equipment,4,80
3.9.99,Other Renewable Generation Plant & Equipment,30,16
3.10.17,Nuclear Cooling Water & Heat Removal Systems,17,232
3.10.20,Nuclear Fire Barrier & Containment Penetrations,9,193
3.12.2,Switchgear - Indoor (1kV to 19kV),45,2420
3.12.5,Switchgear - Indoor (200kV & Above),16,1045
3.12.8,Switchgear - Outdoor (20kV to 99kV),30,1151
3.12.13,Switchgear - Variable Speed/Soft Driven,55,1193
3.12.22,Outdoor high-voltage switchgear: carrier - wave communication systems,3,131
3.13.20,Energy Meter Equipment for District Heating/Cooling,23,156
3.13.21,Security sealing (O-ring seal),3,342
3.14.1,Centrifugal Pumps,104,3319
3.14.15,Hydraulic Pumps,42,999
3.14.18,Vacuum Pumps,37,675
3.15.1,Pipes & Fittings - Fibre Cement,1,754
3.15.2,Pipes & Fittings - Concrete,13,815
3.15.11,Pipe Fittings - Clamps & Collars,46,3012
3.15.24,Polyethylene pipes for cable guiding accessories,6,532
3.15.29,"Round-tubing and tubes for pneumatic transport (of aluminium, stainless steel and others)",4,404
3.15.52,Flexible tubes / terminals,2,254
3.15.55,"Pipes of nickel, titanium, aluminium and its alloys",7,246
3.16.2,Gate/Sluice/Knife Valves,86,3096
3.16.3,Hydrant Valves,24,2697
3.16.8,Flap Valves,34,879
3.16.10,Ball Valves,100,2034
3.16.34,Pneumo - hydraulic valves,8,307
3.16.37,Valves for hydroelectric installations,7,303
3.18.20,Distilled Water,6,297
3.19.4,Dewatering Equipment,67,1021
3.19.10,Mixing Units,38,368
3.19.11,Incineration Equipment,10,129
3.20.6,Compressor Station Emission Stacks,3,375
3.21.16,Compressed Air/Gas Systems,68,1235
3.21.48,Pneumatic Power Packages,31,317
3.50.1,Laboratory Furniture,4,194
3.50.2,Laboratory Apparatus,14,471
3.50.10,Pharmaceutical Manufacturing Equipment,3,138
3.50.11,Laboratory Blood Products,1,118
3.50.97,Other Scientific Equipment,3,183
3.51.1,Medical Devices,1,27
3.51.6,Medical Gases,5,12
3.52.1,Art & Design Sundries,1,11
3.52.8,Other Library Supplies,1,
3.54.4,Diving Fins & Rudders,3,274
3.55.3,Diesel Generator,19,634
4.1.2,Pumping Station - Waste Water,374,4076
4.1.7,Tunnelling & Shafts,156,3058
4.1.23,Land Reinstatement Services,246,6377
4.1.27,Rock Anchor Services,46,560
4.1.29,Demolition and dismantling of sector-specific old plant,65,1857
4.1.39,Pipeline Construction,284,4944
4.1.52,Permanent Way - Removal & Disposal of Materials,15,284
4.1.55,Vegetation Management,130,2791
4.1.73,Construction of compression stations,10,267
4.1.76,Construction and assembly of spheres and tanks,20,350
4.1.91,Naval engineering projects,15,183
4.2.18,Underground Telecommunication Cable Maintenance & Repair,79,1847
4.2.23,Underground Cable Laying - 200kV & Above,85,4553
4.2.29,Underground Cable Maintenance & Repair - Below 1kV,100,3393
4.3.3,Sewer Pipe Laying,230,4264
4.4.6,Fuel System Services,31,141
4.4.14,Power Station - Reciprocating Engine Combined Heat & Power,50,133
4.4.15,Steam System Services,33,207
4.4.98,Other Turbine Services,15,95
4.5.4,Telecontrol Services,84,1756
4.5.6,Transformer Services,173,4695
4.5.18,Substation Turnkey - Distribution,108,1610
4.6.14,Quantity Surveying,83,5136
4.6.16,Electrical Consultancy,187,5993
4.6.32,Harbour & Marine Consultancy,88,2628
4.6.45,Prospecting consultancy,2,65
4.7.12,Nuclear Power Station Outage Management Services,17,170
4.8.4,Electrical Installation Services,353,9207
4.8.8,Compressed Air/Gas System Services,62,700
4.8.99,"Other Mechanical, Electrical, Instrumentation, Control & Automation Services",122,1394
4.9.4,"Overhead Line Inspection, Maintenance & Repair - Wood Pole (20kV to 99kV)",96,4008
4.9.6,Overhead Line Design - Tower (100kV to 199kV),70,1898
4.9.24,Overhead Line Construction - Wood Pole (100kV to 199kV),66,2211
4.9.99,Other Overhead Line Services,73,1638
4.10.7,Meter Reading Services,65,3099
4.11.1,Drilling services,36,743
4.85.5,Tram Services,1,48
4.85.15,Train Disposal Services,3,
4.86.1,Bogie Services,1,
4.86.13,Pneumatic Equipment Services,4,
4.86.22,Doors & Door Gear Services,5,18
4.87.10,Rail Electrification Works,42,16
4.88.1,Overhead Line/Catenary Line Maintenance,10,8
4.88.5,Substation Services - Rail,40,8
4.92.9,Vehicle Approval & Testing,4,5
4.99.35,Fisheries Services,24,1637
4.99.41,Machinery Testing,11,133
4.99.53,Ecology and Biodiversity,86,2450
4.6.51,Offshore Consultancy,62,2055
4.1.93,"Offshore Windfarm Maintenance, Testing and Inspection",72,332

