Product_Code,Product_code_Title,Supplier_Count,Number_of_Searches
2.6.48,Rescue and Emergency Medical Services,7,125
2.6.49,Sales Service,2,78
2.6.50,CAP699 Competency Management,0,70
2.6.99,Other Business & Administrative Services,65,758
2.7.1,Security Services,141,4888
2.7.2,Furniture Maintenance & Repair Services,12,2069
2.7.3,Office Equipment Services,29,2163
2.7.4,Window Cleaning Services,36,2724
2.7.5,Removal/Relocation Services,30,1706
2.7.6,Asset Management/Operation Services,169,3287
2.7.9,Office & Depot Cleaning Services,61,4173
2.7.10,Building/Office Maintenance & Refurbishment Services,358,7765
2.7.11,Grounds Care Maintenance,208,5068
2.7.12,"Fire Protection, Fighting & Maintenance Services",104,4611
2.7.13,Ticket Vending Machine Maintenance & Repair,4,421
2.7.15,Outsourcing services in offices,12,697
2.7.99,Other Facilities Management Services,73,2340
2.8.1,Vehicle Accident & Repair Services,38,1040
2.8.2,Vehicle Bodybuilding,28,880
2.8.3,Vehicle Maintenance,51,1545
2.8.4,Vehicle Recovery Services,23,565
2.8.6,Transportation Services,121,2409
2.8.7,Storage & Warehousing Services,67,1946
2.8.8,Mobile Plant Hire Services,224,2594
2.8.9,Mechanical Handling Equipment Maintenance,63,453
2.8.10,Mobile Plant Maintenance,48,360
2.8.12,Vehicle Washing Services,2,49
2.8.13,Vehicle Disposal Services,13,289
2.8.14,Vehicle Leasing & Hire Services,54,1193
2.8.15,Helicopter/Air Transport Services,16,603
2.8.17,Traffic Lights Hire,53,939
2.8.19,Fleet Management Services,63,1374
2.8.20,Railway Track Maintenance,19,59
2.8.21,Weighbridge Services,8,50
2.8.22,"Signing, Guarding & Lighting Services (NRSWA)",64,583
2.8.23,Generator Hire (System Use),32,1734
2.8.24,Tool Hire,29,644
2.8.25,Boats/Marine Vessel Maintenance,32,131
2.8.26,Fixed Crane Services,33,199
2.8.27,Traffic Management Services,93,2802
2.8.28,Garage/Workshop Equipment Maintenance,9,25
2.8.29,Mobile Accommodation Unit Hire,25,355
2.8.30,Fuel Card Services,17,1093
2.8.31,Marine Equipment Maintenance & Repair Services,26,42
2.8.32,Horticultural Equipment Maintenance & Repair,7,102
2.8.33,Boat/Marine Vessel Hire & Charter,60,183
2.8.34,Rental of sea equipment,15,10
2.8.35,Ship rental,19,9
2.8.36,Haulage - general,75,1715
2.8.37,Haulage - low loader,68,1093
2.8.38,Transport of Radioactive Waste,6,29
2.8.98,Other Hire Services,76,422
2.8.99,Other Transport & Storage Services,16,100
2.9.1,Carpentry Services,100,1421
2.9.3,Electrician Services,163,3034
2.9.4,Industrial Painting & Specialist Coating Services,198,2788
2.9.5,Lift/Escalator Services,23,841
